or_code;or_siren;or_nom;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR700000000531;;COMMUNE;70519;;;;;;;;;;70190;Vandelans;;;;24/07/2018;;;;
OR700000000532;;COMMUNE;70520;;;;;;;;;;70130;Vanne;;;;24/07/2018;;;;
OR700000000533;;COMMUNE;70521;;;;;;;;;;70700;Vantoux-et-Longevelle;;;;24/07/2018;;;;
OR700000000534;;COMMUNE;70522;;;;;;;;;;70240;Varogne;;;;24/07/2018;;;;
OR700000000535;;COMMUNE;70523;;;;;;;;;;70600;Vars;;;;24/07/2018;;;;
OR700000000536;;COMMUNE;70524;;;;;;;;;;70170;Vauchoux;;;;24/07/2018;;;;
OR700000000537;;COMMUNE;70525;;;;;;;;;;70120;Vauconcourt-Nervezain;;;;24/07/2018;;;;
OR700000000538;;COMMUNE;70526;;;;;;;;;;70210;Vauvillers;;;;24/07/2018;;;;
OR700000000539;;COMMUNE;70527;;;;;;;;;;70700;Vaux-le-Moncelot;;;;24/07/2018;;;;
OR700000000540;;COMMUNE;70528;;;;;;;;;;70100;Velesmes-Échevanne;;;;24/07/2018;;;;
OR700000000541;;COMMUNE;70529;;;;;;;;;;70100;Velet;;;;24/07/2018;;;;
OR700000000542;;COMMUNE;70530;;;;;;;;;;70110;Vellechevreux-et-Courbenans;;;;24/07/2018;;;;
OR700000000543;;COMMUNE;70531;;;;;;;;;;70700;Velleclaire;;;;24/07/2018;;;;
OR700000000544;;COMMUNE;70532;;;;;;;;;;70000;Vellefaux;;;;24/07/2018;;;;
OR700000000545;;COMMUNE;70533;;;;;;;;;;70700;Vellefrey-et-Vellefrange;;;;24/07/2018;;;;
OR700000000546;;COMMUNE;70534;;;;;;;;;;70240;Vellefrie;;;;24/07/2018;;;;
OR700000000547;;COMMUNE;70535;;;;;;;;;;70000;Velleguindry-et-Levrecey;;;;24/07/2018;;;;
OR700000000548;;COMMUNE;70536;;;;;;;;;;70000;Velle-le-Châtel;;;;24/07/2018;;;;
OR700000000549;;COMMUNE;70537;;;;;;;;;;70240;Velleminfroy;;;;24/07/2018;;;;
OR700000000550;;COMMUNE;70538;;;;;;;;;;70700;Vellemoz;;;;24/07/2018;;;;
OR700000000551;;COMMUNE;70539;;;;;;;;;;70130;Vellexon-Queutrey-et-Vaudey;;;;24/07/2018;;;;
OR700000000552;;COMMUNE;70540;;;;;;;;;;70700;Velloreille-lès-Choye;;;;24/07/2018;;;;
OR700000000553;;COMMUNE;70541;;;;;;;;;;70300;Velorcey;;;;24/07/2018;;;;
OR700000000554;;COMMUNE;70542;;;;;;;;;;70100;Venère;;;;24/07/2018;;;;
OR700000000555;;COMMUNE;70545;;;;;;;;;;70500;Venisey;;;;24/07/2018;;;;
OR700000000556;;COMMUNE;70546;;;;;;;;;;70180;Vereux;;;;24/07/2018;;;;
OR700000000557;;COMMUNE;70544;;;;;;;;;;70200;La Vergenne;;;;24/07/2018;;;;
OR700000000558;;COMMUNE;70547;;;;;;;;;;70400;Verlans;;;;24/07/2018;;;;
OR700000000559;;COMMUNE;70548;;;;;;;;;;70500;Vernois-sur-Mance;;;;24/07/2018;;;;
OR700000000560;;COMMUNE;70549;;;;;;;;;;70130;La Vernotte;;;;24/07/2018;;;;
OR700000000561;;COMMUNE;70550;;;;;;;;;;70000;Vesoul;;;;24/07/2018;;;;
OR700000000562;;COMMUNE;70552;;;;;;;;;;70110;Villafans;;;;24/07/2018;;;;
OR700000000563;;COMMUNE;70553;;;;;;;;;;70110;Villargent;;;;24/07/2018;;;;
OR700000000564;;COMMUNE;70554;;;;;;;;;;70500;Villars-le-Pautel;;;;24/07/2018;;;;
OR700000000565;;COMMUNE;70555;;;;;;;;;;70160;La Villedieu-en-Fontenette;;;;24/07/2018;;;;
OR700000000566;;COMMUNE;70557;;;;;;;;;;70700;Villefrancon;;;;24/07/2018;;;;
OR700000000567;;COMMUNE;70558;;;;;;;;;;70240;La Villeneuve-Bellenoye-et-la-Maize;;;;24/07/2018;;;;
OR700000000568;;COMMUNE;70559;;;;;;;;;;70000;Villeparois;;;;24/07/2018;;;;
OR700000000569;;COMMUNE;70560;;;;;;;;;;70190;Villers-Bouton;;;;24/07/2018;;;;
OR700000000570;;COMMUNE;70366;;;;;;;;;;70700;Villers-Chemin-et-Mont-lès-Étrelles;;;;24/07/2018;;;;
OR700000000571;;COMMUNE;70561;;;;;;;;;;70110;Villersexel;;;;24/07/2018;;;;
OR700000000572;;COMMUNE;70562;;;;;;;;;;70110;Villers-la-Ville;;;;24/07/2018;;;;
OR700000000573;;COMMUNE;70563;;;;;;;;;;70000;Villers-le-Sec;;;;24/07/2018;;;;
OR700000000574;;COMMUNE;70564;;;;;;;;;;70300;Villers-lès-Luxeuil;;;;24/07/2018;;;;
OR700000000575;;COMMUNE;70565;;;;;;;;;;70190;Villers-Pater;;;;24/07/2018;;;;
OR700000000576;;COMMUNE;70566;;;;;;;;;;70170;Villers-sur-Port;;;;24/07/2018;;;;
OR700000000577;;COMMUNE;70567;;;;;;;;;;70400;Villers-sur-Saulnot;;;;24/07/2018;;;;
OR700000000578;;COMMUNE;70568;;;;;;;;;;70120;Villers-Vaudey;;;;24/07/2018;;;;
OR700000000579;;COMMUNE;70569;;;;;;;;;;70240;Vilory;;;;24/07/2018;;;;
OR700000000580;;COMMUNE;70571;;;;;;;;;;70300;Visoncourt;;;;24/07/2018;;;;
OR700000000581;;COMMUNE;70572;;;;;;;;;;70500;Vitrey-sur-Mance;;;;24/07/2018;;;;
OR700000000582;;COMMUNE;70573;;;;;;;;;;70310;La Voivre;;;;24/07/2018;;;;
OR700000000583;;COMMUNE;70574;;;;;;;;;;70180;Volon;;;;24/07/2018;;;;
OR700000000584;;COMMUNE;70575;;;;;;;;;;70190;Voray-sur-l'Ognon;;;;24/07/2018;;;;
OR700000000585;;COMMUNE;70576;;;;;;;;;;70500;Vougécourt;;;;24/07/2018;;;;
OR700000000586;;COMMUNE;70577;;;;;;;;;;70200;Vouhenans;;;;24/07/2018;;;;
OR700000000587;;COMMUNE;70578;;;;;;;;;;70150;Vregille;;;;24/07/2018;;;;
OR700000000588;;COMMUNE;70579;;;;;;;;;;70400;Vyans-le-Val;;;;24/07/2018;;;;
OR700000000589;;COMMUNE;70580;;;;;;;;;;70130;Vy-le-Ferroux;;;;24/07/2018;;;;
OR700000000590;;COMMUNE;70583;;;;;;;;;;70230;Vy-lès-Filain;;;;24/07/2018;;;;
OR700000000591;;COMMUNE;70581;;;;;;;;;;70200;Vy-lès-Lure;;;;24/07/2018;;;;
OR700000000592;;COMMUNE;70582;;;;;;;;;;70120;Vy-lès-Rupt;;;;24/07/2018;;;;
OR700000000593;;;;;;;;;;;;;;;;;;;;;;
OR700000000594;;;;;;;;;;;;;;;;;;;;;;
OR700000000595;;;;;;;;;;;;;;;;;;;;;;
OR700000000596;;;;;;;;;;;;;;;;;;;;;;
OR700000000597;;;;;;;;;;;;;;;;;;;;;;
OR700000000598;;;;;;;;;;;;;;;;;;;;;;
OR700000000599;;;;;;;;;;;;;;;;;;;;;;
OR700000000600;;;;;;;;;;;;;;;;;;;;;;
OR700000000601;;;;;;;;;;;;;;;;;;;;;;
OR700000000602;;;;;;;;;;;;;;;;;;;;;;
OR700000000603;;;;;;;;;;;;;;;;;;;;;;
OR700000000604;;;;;;;;;;;;;;;;;;;;;;
OR700000000605;;;;;;;;;;;;;;;;;;;;;;
OR700000000606;;;;;;;;;;;;;;;;;;;;;;
OR700000000607;;;;;;;;;;;;;;;;;;;;;;
OR700000000608;;;;;;;;;;;;;;;;;;;;;;
OR700000000609;;;;;;;;;;;;;;;;;;;;;;
OR700000000610;;;;;;;;;;;;;;;;;;;;;;
OR700000000611;;;;;;;;;;;;;;;;;;;;;;
OR700000000612;;;;;;;;;;;;;;;;;;;;;;
OR700000000613;;;;;;;;;;;;;;;;;;;;;;
OR700000000614;;;;;;;;;;;;;;;;;;;;;;
OR700000000615;;;;;;;;;;;;;;;;;;;;;;
OR700000000616;;;;;;;;;;;;;;;;;;;;;;
OR700000000617;;;;;;;;;;;;;;;;;;;;;;
OR700000000618;;;;;;;;;;;;;;;;;;;;;;
OR700000000619;;;;;;;;;;;;;;;;;;;;;;
OR700000000620;;;;;;;;;;;;;;;;;;;;;;
OR700000000621;;;;;;;;;;;;;;;;;;;;;;
OR700000000622;;;;;;;;;;;;;;;;;;;;;;
OR700000000623;;;;;;;;;;;;;;;;;;;;;;
OR700000000624;;;;;;;;;;;;;;;;;;;;;;
OR700000000625;;;;;;;;;;;;;;;;;;;;;;
OR700000000626;;;;;;;;;;;;;;;;;;;;;;
OR700000000627;;;;;;;;;;;;;;;;;;;;;;
OR700000000628;;;;;;;;;;;;;;;;;;;;;;
OR700000000629;;;;;;;;;;;;;;;;;;;;;;
OR700000000630;;;;;;;;;;;;;;;;;;;;;;
OR700000000631;;;;;;;;;;;;;;;;;;;;;;
OR700000000632;;;;;;;;;;;;;;;;;;;;;;
OR700000000633;;;;;;;;;;;;;;;;;;;;;;
OR700000000634;;;;;;;;;;;;;;;;;;;;;;
OR700000000635;;;;;;;;;;;;;;;;;;;;;;
OR700000000636;;;;;;;;;;;;;;;;;;;;;;
OR700000000637;;;;;;;;;;;;;;;;;;;;;;
OR700000000638;;;;;;;;;;;;;;;;;;;;;;
OR700000000639;;;;;;;;;;;;;;;;;;;;;;
OR700000000640;;;;;;;;;;;;;;;;;;;;;;
OR700000000641;;;;;;;;;;;;;;;;;;;;;;
OR700000000642;;;;;;;;;;;;;;;;;;;;;;
OR700000000643;;;;;;;;;;;;;;;;;;;;;;
OR700000000644;;;;;;;;;;;;;;;;;;;;;;
OR700000000645;;;;;;;;;;;;;;;;;;;;;;
OR700000000646;;;;;;;;;;;;;;;;;;;;;;
OR700000000647;;;;;;;;;;;;;;;;;;;;;;
OR700000000648;;;;;;;;;;;;;;;;;;;;;;
OR700000000649;;;;;;;;;;;;;;;;;;;;;;
OR700000000650;;;;;;;;;;;;;;;;;;;;;;
OR700000000651;;;;;;;;;;;;;;;;;;;;;;
OR700000000652;;;;;;;;;;;;;;;;;;;;;;
OR700000000653;;;;;;;;;;;;;;;;;;;;;;
OR700000000654;;;;;;;;;;;;;;;;;;;;;;
OR700000000655;;;;;;;;;;;;;;;;;;;;;;
OR700000000656;;;;;;;;;;;;;;;;;;;;;;
OR700000000657;;;;;;;;;;;;;;;;;;;;;;
OR700000000658;;;;;;;;;;;;;;;;;;;;;;
OR700000000659;;;;;;;;;;;;;;;;;;;;;;
OR700000000660;;;;;;;;;;;;;;;;;;;;;;
OR700000000661;;;;;;;;;;;;;;;;;;;;;;
OR700000000662;;;;;;;;;;;;;;;;;;;;;;
OR700000000663;;;;;;;;;;;;;;;;;;;;;;
OR700000000664;;;;;;;;;;;;;;;;;;;;;;
OR700000000665;;;;;;;;;;;;;;;;;;;;;;
OR700000000666;;;;;;;;;;;;;;;;;;;;;;
OR700000000667;;;;;;;;;;;;;;;;;;;;;;
OR700000000668;;;;;;;;;;;;;;;;;;;;;;
OR700000000669;;;;;;;;;;;;;;;;;;;;;;
OR700000000670;;;;;;;;;;;;;;;;;;;;;;
OR700000000671;;;;;;;;;;;;;;;;;;;;;;
OR700000000672;;;;;;;;;;;;;;;;;;;;;;
OR700000000673;;;;;;;;;;;;;;;;;;;;;;
OR700000000674;;;;;;;;;;;;;;;;;;;;;;
OR700000000675;;;;;;;;;;;;;;;;;;;;;;
OR700000000676;;;;;;;;;;;;;;;;;;;;;;
OR700000000677;;;;;;;;;;;;;;;;;;;;;;
OR700000000678;;;;;;;;;;;;;;;;;;;;;;
OR700000000679;;;;;;;;;;;;;;;;;;;;;;
OR700000000680;;;;;;;;;;;;;;;;;;;;;;
OR700000000681;;;;;;;;;;;;;;;;;;;;;;
OR700000000682;;;;;;;;;;;;;;;;;;;;;;
OR700000000683;;;;;;;;;;;;;;;;;;;;;;
OR700000000684;;;;;;;;;;;;;;;;;;;;;;
OR700000000685;;;;;;;;;;;;;;;;;;;;;;
OR700000000686;;;;;;;;;;;;;;;;;;;;;;
OR700000000687;;;;;;;;;;;;;;;;;;;;;;
OR700000000688;;;;;;;;;;;;;;;;;;;;;;
OR700000000689;;;;;;;;;;;;;;;;;;;;;;
OR700000000690;;;;;;;;;;;;;;;;;;;;;;
OR700000000691;;;;;;;;;;;;;;;;;;;;;;
OR700000000692;;;;;;;;;;;;;;;;;;;;;;
OR700000000693;;;;;;;;;;;;;;;;;;;;;;
OR700000000694;;;;;;;;;;;;;;;;;;;;;;
OR700000000695;;;;;;;;;;;;;;;;;;;;;;
OR700000000696;;;;;;;;;;;;;;;;;;;;;;
OR700000000697;;;;;;;;;;;;;;;;;;;;;;
OR700000000698;;;;;;;;;;;;;;;;;;;;;;
OR700000000699;;;;;;;;;;;;;;;;;;;;;;
OR700000000700;;;;;;;;;;;;;;;;;;;;;;
OR700000000701;;;;;;;;;;;;;;;;;;;;;;
OR700000000702;;;;;;;;;;;;;;;;;;;;;;
OR700000000703;;;;;;;;;;;;;;;;;;;;;;
OR700000000704;;;;;;;;;;;;;;;;;;;;;;
OR700000000705;;;;;;;;;;;;;;;;;;;;;;
OR700000000706;;;;;;;;;;;;;;;;;;;;;;
OR700000000707;;;;;;;;;;;;;;;;;;;;;;
OR700000000708;;;;;;;;;;;;;;;;;;;;;;
OR700000000709;;;;;;;;;;;;;;;;;;;;;;
OR700000000710;;;;;;;;;;;;;;;;;;;;;;
OR700000000711;;;;;;;;;;;;;;;;;;;;;;
OR700000000712;;;;;;;;;;;;;;;;;;;;;;
OR700000000713;;;;;;;;;;;;;;;;;;;;;;
OR700000000714;;;;;;;;;;;;;;;;;;;;;;
OR700000000715;;;;;;;;;;;;;;;;;;;;;;
OR700000000716;;;;;;;;;;;;;;;;;;;;;;
OR700000000717;;;;;;;;;;;;;;;;;;;;;;
OR700000000718;;;;;;;;;;;;;;;;;;;;;;
OR700000000719;;;;;;;;;;;;;;;;;;;;;;
OR700000000720;;;;;;;;;;;;;;;;;;;;;;
OR700000000721;;;;;;;;;;;;;;;;;;;;;;
OR700000000722;;;;;;;;;;;;;;;;;;;;;;
OR700000000723;;;;;;;;;;;;;;;;;;;;;;
OR700000000724;;;;;;;;;;;;;;;;;;;;;;
OR700000000725;;;;;;;;;;;;;;;;;;;;;;
OR700000000726;;;;;;;;;;;;;;;;;;;;;;
OR700000000727;;;;;;;;;;;;;;;;;;;;;;
OR700000000728;;;;;;;;;;;;;;;;;;;;;;
OR700000000729;;;;;;;;;;;;;;;;;;;;;;
OR700000000730;;;;;;;;;;;;;;;;;;;;;;
OR700000000731;;;;;;;;;;;;;;;;;;;;;;
OR700000000732;;;;;;;;;;;;;;;;;;;;;;
OR700000000733;;;;;;;;;;;;;;;;;;;;;;
OR700000000734;;;;;;;;;;;;;;;;;;;;;;
OR700000000735;;;;;;;;;;;;;;;;;;;;;;
OR700000000736;;;;;;;;;;;;;;;;;;;;;;
OR700000000737;;;;;;;;;;;;;;;;;;;;;;
OR700000000738;;;;;;;;;;;;;;;;;;;;;;
OR700000000739;;;;;;;;;;;;;;;;;;;;;;
OR700000000740;;;;;;;;;;;;;;;;;;;;;;
OR700000000741;;;;;;;;;;;;;;;;;;;;;;
OR700000000742;;;;;;;;;;;;;;;;;;;;;;
OR700000000743;;;;;;;;;;;;;;;;;;;;;;
OR700000000744;;;;;;;;;;;;;;;;;;;;;;
OR700000000745;;;;;;;;;;;;;;;;;;;;;;
OR700000000746;;;;;;;;;;;;;;;;;;;;;;
OR700000000747;;;;;;;;;;;;;;;;;;;;;;
OR700000000748;;;;;;;;;;;;;;;;;;;;;;
OR700000000749;;;;;;;;;;;;;;;;;;;;;;
OR700000000750;;;;;;;;;;;;;;;;;;;;;;
OR700000000751;;;;;;;;;;;;;;;;;;;;;;
OR700000000752;;;;;;;;;;;;;;;;;;;;;;
OR700000000753;;;;;;;;;;;;;;;;;;;;;;
OR700000000754;;;;;;;;;;;;;;;;;;;;;;
OR700000000755;;;;;;;;;;;;;;;;;;;;;;
OR700000000756;;;;;;;;;;;;;;;;;;;;;;
OR700000000757;;;;;;;;;;;;;;;;;;;;;;
OR700000000758;;;;;;;;;;;;;;;;;;;;;;
OR700000000759;;;;;;;;;;;;;;;;;;;;;;
OR700000000760;;;;;;;;;;;;;;;;;;;;;;
OR700000000761;;;;;;;;;;;;;;;;;;;;;;
OR700000000762;;;;;;;;;;;;;;;;;;;;;;
OR700000000763;;;;;;;;;;;;;;;;;;;;;;
OR700000000764;;;;;;;;;;;;;;;;;;;;;;
OR700000000765;;;;;;;;;;;;;;;;;;;;;;
OR700000000766;;;;;;;;;;;;;;;;;;;;;;
OR700000000767;;;;;;;;;;;;;;;;;;;;;;
OR700000000768;;;;;;;;;;;;;;;;;;;;;;
OR700000000769;;;;;;;;;;;;;;;;;;;;;;
OR700000000770;;;;;;;;;;;;;;;;;;;;;;
OR700000000771;;;;;;;;;;;;;;;;;;;;;;
OR700000000772;;;;;;;;;;;;;;;;;;;;;;
OR700000000773;;;;;;;;;;;;;;;;;;;;;;
OR700000000774;;;;;;;;;;;;;;;;;;;;;;
OR700000000775;;;;;;;;;;;;;;;;;;;;;;
OR700000000776;;;;;;;;;;;;;;;;;;;;;;
OR700000000777;;;;;;;;;;;;;;;;;;;;;;
OR700000000778;;;;;;;;;;;;;;;;;;;;;;
OR700000000779;;;;;;;;;;;;;;;;;;;;;;
OR700000000780;;;;;;;;;;;;;;;;;;;;;;
OR700000000781;;;;;;;;;;;;;;;;;;;;;;
OR700000000782;;;;;;;;;;;;;;;;;;;;;;
OR700000000783;;;;;;;;;;;;;;;;;;;;;;
OR700000000784;;;;;;;;;;;;;;;;;;;;;;
OR700000000785;;;;;;;;;;;;;;;;;;;;;;
OR700000000786;;;;;;;;;;;;;;;;;;;;;;
OR700000000787;;;;;;;;;;;;;;;;;;;;;;
OR700000000788;;;;;;;;;;;;;;;;;;;;;;
OR700000000789;;;;;;;;;;;;;;;;;;;;;;
OR700000000790;;;;;;;;;;;;;;;;;;;;;;
OR700000000791;;;;;;;;;;;;;;;;;;;;;;
OR700000000792;;;;;;;;;;;;;;;;;;;;;;
OR700000000793;;;;;;;;;;;;;;;;;;;;;;
OR700000000794;;;;;;;;;;;;;;;;;;;;;;
OR700000000795;;;;;;;;;;;;;;;;;;;;;;
OR700000000796;;;;;;;;;;;;;;;;;;;;;;
OR700000000797;;;;;;;;;;;;;;;;;;;;;;
OR700000000798;;;;;;;;;;;;;;;;;;;;;;
OR700000000799;;;;;;;;;;;;;;;;;;;;;;
OR700000000800;;;;;;;;;;;;;;;;;;;;;;
OR700000000801;;;;;;;;;;;;;;;;;;;;;;
OR700000000802;;;;;;;;;;;;;;;;;;;;;;
OR700000000803;;;;;;;;;;;;;;;;;;;;;;
OR700000000804;;;;;;;;;;;;;;;;;;;;;;
OR700000000805;;;;;;;;;;;;;;;;;;;;;;
OR700000000806;;;;;;;;;;;;;;;;;;;;;;
OR700000000807;;;;;;;;;;;;;;;;;;;;;;
OR700000000808;;;;;;;;;;;;;;;;;;;;;;
OR700000000809;;;;;;;;;;;;;;;;;;;;;;
OR700000000810;;;;;;;;;;;;;;;;;;;;;;
OR700000000811;;;;;;;;;;;;;;;;;;;;;;
OR700000000812;;;;;;;;;;;;;;;;;;;;;;
OR700000000813;;;;;;;;;;;;;;;;;;;;;;
OR700000000814;;;;;;;;;;;;;;;;;;;;;;
OR700000000815;;;;;;;;;;;;;;;;;;;;;;
OR700000000816;;;;;;;;;;;;;;;;;;;;;;
OR700000000817;;;;;;;;;;;;;;;;;;;;;;
OR700000000818;;;;;;;;;;;;;;;;;;;;;;
OR700000000819;;;;;;;;;;;;;;;;;;;;;;
OR700000000820;;;;;;;;;;;;;;;;;;;;;;
OR700000000821;;;;;;;;;;;;;;;;;;;;;;
OR700000000822;;;;;;;;;;;;;;;;;;;;;;
OR700000000823;;;;;;;;;;;;;;;;;;;;;;
OR700000000824;;;;;;;;;;;;;;;;;;;;;;
OR700000000825;;;;;;;;;;;;;;;;;;;;;;
OR700000000826;;;;;;;;;;;;;;;;;;;;;;
OR700000000827;;;;;;;;;;;;;;;;;;;;;;
OR700000000828;;;;;;;;;;;;;;;;;;;;;;
OR700000000829;;;;;;;;;;;;;;;;;;;;;;
OR700000000830;;;;;;;;;;;;;;;;;;;;;;
OR700000000831;;;;;;;;;;;;;;;;;;;;;;
OR700000000832;;;;;;;;;;;;;;;;;;;;;;
OR700000000833;;;;;;;;;;;;;;;;;;;;;;
OR700000000834;;;;;;;;;;;;;;;;;;;;;;
OR700000000835;;;;;;;;;;;;;;;;;;;;;;
OR700000000836;;;;;;;;;;;;;;;;;;;;;;
OR700000000837;;;;;;;;;;;;;;;;;;;;;;
OR700000000838;;;;;;;;;;;;;;;;;;;;;;
OR700000000839;;;;;;;;;;;;;;;;;;;;;;
OR700000000840;;;;;;;;;;;;;;;;;;;;;;
OR700000000841;;;;;;;;;;;;;;;;;;;;;;
OR700000000842;;;;;;;;;;;;;;;;;;;;;;
OR700000000843;;;;;;;;;;;;;;;;;;;;;;
OR700000000844;;;;;;;;;;;;;;;;;;;;;;
OR700000000845;;;;;;;;;;;;;;;;;;;;;;
OR700000000846;;;;;;;;;;;;;;;;;;;;;;
OR700000000847;;;;;;;;;;;;;;;;;;;;;;
OR700000000848;;;;;;;;;;;;;;;;;;;;;;
OR700000000849;;;;;;;;;;;;;;;;;;;;;;
OR700000000850;;;;;;;;;;;;;;;;;;;;;;
OR700000000851;;;;;;;;;;;;;;;;;;;;;;
OR700000000852;;;;;;;;;;;;;;;;;;;;;;
OR700000000853;;;;;;;;;;;;;;;;;;;;;;
OR700000000854;;;;;;;;;;;;;;;;;;;;;;
OR700000000855;;;;;;;;;;;;;;;;;;;;;;
OR700000000856;;;;;;;;;;;;;;;;;;;;;;
OR700000000857;;;;;;;;;;;;;;;;;;;;;;
OR700000000858;;;;;;;;;;;;;;;;;;;;;;
OR700000000859;;;;;;;;;;;;;;;;;;;;;;
OR700000000860;;;;;;;;;;;;;;;;;;;;;;
OR700000000861;;;;;;;;;;;;;;;;;;;;;;
OR700000000862;;;;;;;;;;;;;;;;;;;;;;
OR700000000863;;;;;;;;;;;;;;;;;;;;;;
OR700000000864;;;;;;;;;;;;;;;;;;;;;;
OR700000000865;;;;;;;;;;;;;;;;;;;;;;
OR700000000866;;;;;;;;;;;;;;;;;;;;;;
OR700000000867;;;;;;;;;;;;;;;;;;;;;;
OR700000000868;;;;;;;;;;;;;;;;;;;;;;
OR700000000869;;;;;;;;;;;;;;;;;;;;;;
OR700000000870;;;;;;;;;;;;;;;;;;;;;;
OR700000000871;;;;;;;;;;;;;;;;;;;;;;
OR700000000872;;;;;;;;;;;;;;;;;;;;;;
OR700000000873;;;;;;;;;;;;;;;;;;;;;;
OR700000000874;;;;;;;;;;;;;;;;;;;;;;
OR700000000875;;;;;;;;;;;;;;;;;;;;;;
OR700000000876;;;;;;;;;;;;;;;;;;;;;;
OR700000000877;;;;;;;;;;;;;;;;;;;;;;
OR700000000878;;;;;;;;;;;;;;;;;;;;;;
OR700000000879;;;;;;;;;;;;;;;;;;;;;;
OR700000000880;;;;;;;;;;;;;;;;;;;;;;
OR700000000881;;;;;;;;;;;;;;;;;;;;;;
OR700000000882;;;;;;;;;;;;;;;;;;;;;;
OR700000000883;;;;;;;;;;;;;;;;;;;;;;
OR700000000884;;;;;;;;;;;;;;;;;;;;;;
OR700000000885;;;;;;;;;;;;;;;;;;;;;;
OR700000000886;;;;;;;;;;;;;;;;;;;;;;
OR700000000887;;;;;;;;;;;;;;;;;;;;;;
OR700000000888;;;;;;;;;;;;;;;;;;;;;;
OR700000000889;;;;;;;;;;;;;;;;;;;;;;
OR700000000890;;;;;;;;;;;;;;;;;;;;;;
OR700000000891;;;;;;;;;;;;;;;;;;;;;;
OR700000000892;;;;;;;;;;;;;;;;;;;;;;
OR700000000893;;;;;;;;;;;;;;;;;;;;;;
OR700000000894;;;;;;;;;;;;;;;;;;;;;;
OR700000000895;;;;;;;;;;;;;;;;;;;;;;
OR700000000896;;;;;;;;;;;;;;;;;;;;;;
OR700000000897;;;;;;;;;;;;;;;;;;;;;;
OR700000000898;;;;;;;;;;;;;;;;;;;;;;
OR700000000899;;;;;;;;;;;;;;;;;;;;;;
OR700000000900;;;;;;;;;;;;;;;;;;;;;;
OR700000000901;;;;;;;;;;;;;;;;;;;;;;
OR700000000902;;;;;;;;;;;;;;;;;;;;;;
OR700000000903;;;;;;;;;;;;;;;;;;;;;;
OR700000000904;;;;;;;;;;;;;;;;;;;;;;
OR700000000905;;;;;;;;;;;;;;;;;;;;;;
OR700000000906;;;;;;;;;;;;;;;;;;;;;;
OR700000000907;;;;;;;;;;;;;;;;;;;;;;
OR700000000908;;;;;;;;;;;;;;;;;;;;;;
OR700000000909;;;;;;;;;;;;;;;;;;;;;;
OR700000000910;;;;;;;;;;;;;;;;;;;;;;
OR700000000911;;;;;;;;;;;;;;;;;;;;;;
OR700000000912;;;;;;;;;;;;;;;;;;;;;;
OR700000000913;;;;;;;;;;;;;;;;;;;;;;
OR700000000914;;;;;;;;;;;;;;;;;;;;;;
OR700000000915;;;;;;;;;;;;;;;;;;;;;;
OR700000000916;;;;;;;;;;;;;;;;;;;;;;
OR700000000917;;;;;;;;;;;;;;;;;;;;;;
OR700000000918;;;;;;;;;;;;;;;;;;;;;;
OR700000000919;;;;;;;;;;;;;;;;;;;;;;
OR700000000920;;;;;;;;;;;;;;;;;;;;;;
OR700000000921;;;;;;;;;;;;;;;;;;;;;;
OR700000000922;;;;;;;;;;;;;;;;;;;;;;
OR700000000923;;;;;;;;;;;;;;;;;;;;;;
OR700000000924;;;;;;;;;;;;;;;;;;;;;;
OR700000000925;;;;;;;;;;;;;;;;;;;;;;
OR700000000926;;;;;;;;;;;;;;;;;;;;;;
OR700000000927;;;;;;;;;;;;;;;;;;;;;;
OR700000000928;;;;;;;;;;;;;;;;;;;;;;
OR700000000929;;;;;;;;;;;;;;;;;;;;;;
OR700000000930;;;;;;;;;;;;;;;;;;;;;;
OR700000000931;;;;;;;;;;;;;;;;;;;;;;
OR700000000932;;;;;;;;;;;;;;;;;;;;;;
OR700000000933;;;;;;;;;;;;;;;;;;;;;;
OR700000000934;;;;;;;;;;;;;;;;;;;;;;
OR700000000935;;;;;;;;;;;;;;;;;;;;;;
OR700000000936;;;;;;;;;;;;;;;;;;;;;;
OR700000000937;;;;;;;;;;;;;;;;;;;;;;
OR700000000938;;;;;;;;;;;;;;;;;;;;;;
OR700000000939;;;;;;;;;;;;;;;;;;;;;;
OR700000000940;;;;;;;;;;;;;;;;;;;;;;
OR700000000941;;;;;;;;;;;;;;;;;;;;;;
OR700000000942;;;;;;;;;;;;;;;;;;;;;;
OR700000000943;;;;;;;;;;;;;;;;;;;;;;
OR700000000944;;;;;;;;;;;;;;;;;;;;;;
OR700000000945;;;;;;;;;;;;;;;;;;;;;;
OR700000000946;;;;;;;;;;;;;;;;;;;;;;
OR700000000947;;;;;;;;;;;;;;;;;;;;;;
OR700000000948;;;;;;;;;;;;;;;;;;;;;;
OR700000000949;;;;;;;;;;;;;;;;;;;;;;
OR700000000950;;;;;;;;;;;;;;;;;;;;;;
OR700000000951;;;;;;;;;;;;;;;;;;;;;;
OR700000000952;;;;;;;;;;;;;;;;;;;;;;
OR700000000953;;;;;;;;;;;;;;;;;;;;;;
OR700000000954;;;;;;;;;;;;;;;;;;;;;;
OR700000000955;;;;;;;;;;;;;;;;;;;;;;
OR700000000956;;;;;;;;;;;;;;;;;;;;;;
