gid;ad_code;ad_ban_id;ad_nomvoie;ad_fantoir;ad_numero;ad_rep;ad_insee;ad_postal;ad_alias;ad_nom_ld;ad_x_ban;ad_y_ban;ad_commune;ad_section;ad_idpar;ad_x_parc;ad_y_parc;ad_nat;ad_nblhab;ad_nblpro;ad_nbprhab;ad_nbprpro;ad_rivoli;ad_hexacle;ad_hexaclv;ad_distinf;ad_isole;ad_prio;ad_racc;ad_batcode;ad_nombat;ad_ietat;ad_itypeim;ad_imneuf;ad_idatimn;ad_prop;ad_gest;ad_idatsgn;ad_iaccgst;ad_idatcab;ad_idatcom;ad_typzone;ad_comment;ad_geolqlt;ad_geolmod;ad_geolsrc;ad_creadat;ad_majdate;ad_majsrc;ad_abddate;ad_abdsrc;nom_sro;nb_prises_totale;statut;cas_particuliers;nom_id;nom_pro;x;y;potentiel_ftte;geom
269;AD700BC0004922;ADRNIVX_0000000278281218;Chemin d'Autrey;0025;3;;70026;70100;;;894194.280736132;6709729.21950529;Arc-lès-Gray;;2018700026000AM0149;894150.327726801;6709714.38323418;;1;0;1;0;;;;31;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;2175;;894143.197436622;6709714.4239812;0;01010000206A080000B56916657E492B410682229B74985941
270;AD700BC0004924;ADRNIVX_0000000278281222;Chemin d'Autrey;0025;7;;70026;70100;;;894112.505484666;6709744.99991021;Arc-lès-Gray;;2018700026000AM0070;894115.170477631;6709738.75160387;;1;0;1;0;;;;31;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;2163;;894113.628434016;6709736.09567255;0;01010000206A080000721AC24143492B41BE7F1F067A985941
271;AD700BC0004935;ADRNIVX_0000000278281233;Faubourg Roch;0330;3;;70026;70100;;;894259.090364857;6709718.22103149;Arc-lès-Gray;;2018700026000AM0061;894247.159480818;6709713.5546329;;1;0;1;0;;;;22;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;2151;;894249.719309365;6709711.85276358;0;01010000206A0800002C514970534A2B41AEAD93F673985941
272;AD700BC0004936;ADRNIVX_0000000278282218;Rue des Varennes;0191;21;;70026;70100;;;893962.384763098;6709501.24312504;Arc-lès-Gray;;2018700026000AC0193;893973.51813752;6709491.28617626;;1;0;1;0;;;;26;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;2478;;893973.864390641;6709491.82999884;0;01010000206A080000FC6891BA2B482B4178B31EF53C985941
273;AD700BC0004945;ADRNIVX_0000000354865963;Rue du Repos;0320;31;;70026;70100;;;894289.768797191;6709655.9798847;Arc-lès-Gray;;2018700026000AC0284;894244.881896285;6709655.67873901;;1;0;1;0;;;;70;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1952;;894247.699066951;6709651.42914956;0;01010000206A080000781AEC654F4A2B41B32F77DB64985941
274;AD700BC0004958;ADRNIVX_0000000278282129;Rue de la Gendarmerie;0140;17;;70026;70100;;;894466.302832928;6709600.95262593;Arc-lès-Gray;;2018700026000AB0312;894461.509743417;6709589.81619548;;1;0;1;0;;;;19;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1884;;894461.408574135;6709594.05885646;0;01010000206A08000007A130D1FA4B2B41E04DC48356985941
275;AD700BC0004960;ADRNIVX_0000000278282169;Rue du Repos;0320;8;BIS;70026;70100;;;894392.510313346;6709536.18533652;Arc-lès-Gray;;2018700026000AB0626;894407.584142143;6709557.55079044;;1;0;1;0;;;;21;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1627;;894403.188860931;6709552.18474097;0;01010000206A0800004361B260864B2B41C7CBD20B4C985941
276;AD700BC0004961;ADRNIVX_0000000278282168;Rue du Repos;0320;8;;70026;70100;;;894464.196710441;6709480.95442336;Arc-lès-Gray;;2018700026000AB0295;894482.833405812;6709506.8414786;;1;0;1;0;;;;15;f;;1;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1893;;894467.469301377;6709487.16966692;0;01010000206A080000264548F0064C2B41A0D2DBCA3B985941
277;AD700BC0004962;ADRNIVX_0000000278282165;Rue du Repos;0320;4;;70026;70100;;;894477.170851197;6709471.48652619;Arc-lès-Gray;;2018700026000AB0287;894485.475484019;6709480.69103095;;1;0;1;0;;;;11;f;;9;;;;P;;;;;;;;;;Aero-souterrain ENEDIS;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1862;;894480.692706269;6709474.12992042;0;01010000206A0800006565AA62214C2B41C29D508838985941
278;AD700BC0004963;ADRNIVX_0000000278282167;Rue du Repos;0320;7;;70026;70100;;;894469.708554081;6709471.46476271;Arc-lès-Gray;;2018700026000AB0412;894463.104653032;6709458.2677353;;1;0;1;0;;;;12;f;;9;;;;P;;;;;;;;;;Aero-souterrain ENEDIS;;;;2018-06-08 00:00:00;;;;;N070GAY_S01C;1;E;;1202;;894461.775890938;6709464.39602516;0;01010000206A080000B593418DFB4B2B41E779581936985941
