58646;N070RIO_S02B;AD700100202761;23;;Vieille Route de Boult;COMBE AUX CREUX           ;Voray-sur-l'Ognon;70190;70575;927757.112915039;6698159.02807617;0020;ADRNIVX_0000000311270770;;;2018700575000ZL0106;927757.570072117;6698159.30883339;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000D0391A502C410000CCC12B8D5941;
58652;N070RIO_S02B;AD700100202762;21;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927740.387878418;6698144.22247314;0020;ADRNIVX_0000000326602805;;;2018700575000ZL0107;927745.128082561;6698144.40951363;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000000098C6F84F2C4100003D0E288D5941;
58623;N070RIO_S02B;AD700100202763;19;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927767.23449707;6698131.11547852;0020;ADRNIVX_0000000329342694;;;2018700575000ZL0101;927763.959583348;6698127.16115675;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000000010782E502C41000064C7248D5941;
58287;N070RIO_S02B;AD700100202764;17;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927780.08807373;6698103.55627441;0020;ADRNIVX_0000000278296436;;;2018700575000ZA0295;927782.531947097;6698102.48959945;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000182D48502C4100009AE31D8D5941;
58289;N070RIO_S02B;AD700100202765;15;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927797.575927734;6698086.69110107;0020;ADRNIVX_0000000278296432;;;2018700575000ZA0281;927794.89034139;6698081.43799326;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000E0266B502C4100003BAC198D5941;
;N070RIO_S02B;AD700100202766;7;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927812.495950956;6698061.3581942;0020;ADRNIVX_0000000278296416;;;2018700575000ZA0331;927807.652008195;6698058.43942632;;;;;1;0;1;0;1;0;Aero-souterrain Orange;9;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800009E48EDFD88502C415BA7EC56138D5941;
;N070RIO_S02B;AD700100202767;5;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927820.505797969;6698044.04658936;0020;ADRNIVX_0000000278296410;;;2018700575000ZA0334;927818.920137989;6698035.71691608;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800008EF3F70299502C41F351FB020F8D5941;
58546;N070RIO_S02B;AD700100202768;3;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927830.864501953;6698016.76629639;0020;ADRNIVX_0000000278296409;;;2018700575000ZA0276;927832.023153391;6698011.82735938;;;;;1;0;1;0;1;0;;1;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000A0BAAD502C4100000B31088D5941;
;N070RIO_S02B;AD700100202769;16;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927813.529479603;6698134.48034596;0020;ADRNIVX_0000000358328046;;;2018700575000ZA0229;927815.492088034;6698130.17390544;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A08000052F3170F8B502C4100FDBD9E258D5941;
;N070RIO_S02B;AD700100202770;14;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927833.166523893;6698094.94787522;0020;ADRNIVX_0000000326602798;;;2018700575000ZA0376;927851.045958459;6698079.58361195;;;;;8;0;8;0;8;0;Aero-souterrain ENEDIS;9;I;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000A79E4255B2502C41D5FCA9BC1B8D5941;
;N070RIO_S02B;AD700100202771;8;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927868.82326221;6698043.27144288;0020;ADRNIVX_0000000278296417;;;2018700575000ZA0376;927851.045958459;6698079.58361195;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000DC9F82A5F9502C41F2515FD10E8D5941;
;N070RIO_S02B;AD700100202772;35;;Rue de Vesoul;;Voray-sur-l'Ognon;70190;70575;927875.799580577;6698038.36218181;0135;ADRNIVX_0000000278296498;;;2018700575000ZA0189;927880.217893803;6698030.04907115;;;;;1;0;1;0;1;0;Aero-souterrain ENEDIS;9;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A08000018A0629907512C4198FC2D970D8D5941;
58403;N070RIO_S02B;AD700100202773;2;;Vieille Route de Boult;;Voray-sur-l'Ognon;70190;70575;927869.097106934;6698019.20251465;0020;ADRNIVX_0000000278296407;;;2018700575000ZA0167;927869.952922695;6698018.62344509;;;;;2;0;2;0;2;0;;1;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000B831FA502C410000F6CC088D5941;
;N070RIO_S02B;AD700100202774;3;;Rue de la Combe au Creux;;Voray-sur-l'Ognon;70190;70575;927736.789977572;6698102.44095791;0060;ADRNIVX_0000000353662883;;;2018700575000ZL0105;927736.716934632;6698105.63092607;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000B9F07794F14F2C4188A7389C1D8D5941;
;N070RIO_S02B;AD700100202775;1;;Rue de la Combe au Creux;;Voray-sur-l'Ognon;70190;70575;927718.961608413;6698095.20625738;0060;ADRNIVX_0000000353662883;;;2018700575000ZL0104;927718.558788972;6698091.22973735;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800001EF057ECCD4F2C412B5233CD1B8D5941;
;N070RIO_S02B;AD700100202776;13;;Rue des Chioz;;Voray-sur-l'Ognon;70190;70575;927692.606627918;6698079.44494552;0060;ADRNIVX_0000000278296454;;;2018700575000ZL0054;927682.922969641;6698078.78649713;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800003AEF9736994F2C41C4FC79DC178D5941;
;N070RIO_S02B;AD700100202777;11;;Rue des Chioz;;Voray-sur-l'Ognon;70190;70575;927694.156920888;6698056.44893313;0060;ADRNIVX_0000000278296452;;;2018700575000ZL0053;927690.212100121;6698056.13918086;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A08000047EF57509C4F2C410152BB1C128D5941;
;N070RIO_S02B;AD700100202778;9;;Rue des Chioz;;Voray-sur-l'Ognon;70190;70575;927700.616474931;6698037.58703532;0060;ADRNIVX_0000000278296451;;;2018700575000ZL0052;927696.491729165;6698032.99238964;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800002A9AA23BA94F2C4197FC91650D8D5941;
58679;N070RIO_S02B;AD700100202779;7;;Rue des Chioz;;Voray-sur-l'Ognon;70190;70575;927702.1796875;6698006.62329102;0060;ADRNIVX_0000000278296450;;;2018700575000ZL0051;927701.605772702;6698001.91426932;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000005CAC4F2C410000E4A7058D5941;
58664;N070RIO_S02B;AD700100202780;5;;Rue des Chioz;;Voray-sur-l'Ognon;70190;70575;927696.472106934;6697971.31072998;0060;ADRNIVX_0000000278296449;;;2018700575000ZL0050;927695.662361989;6697966.45989911;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000B8F1A04F2C410000E3D3FC8C5941;
58391;N070RIO_S02B;AD700100202781;2;;Rue des Champs Montants;;Voray-sur-l'Ognon;70190;70575;927677.508728027;6697999.20147705;0045;ADRNIVX_0000000278296548;;;2018700575000ZL0062;927679.203043618;6697997.80709875;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000000078047B4F2C410000E5CC038D5941;
58393;N070RIO_S02B;AD700100202782;4;;Rue des Champs Montants;;Voray-sur-l'Ognon;70190;70575;927670.400512695;6698029.81750488;0045;ADRNIVX_0000000278296549;;;2018700575000ZL0056;927669.89966089;6698026.19329943;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000000010CD6C4F2C41000052740B8D5941;
;N070RIO_S02B;AD700100202783;6;;Rue des Champs Montants;;Voray-sur-l'Ognon;70190;70575;927657.725036086;6698051.02290773;0045;ADRNIVX_0000000278296551;;;2018700575000ZL0055;927653.579388615;6698048.53481879;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;C;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000BEE3773534F2C41FB5177C1108D5941;
58693;N070RIO_S02B;AD700100202784;7;;Rue des Champs Montants;;Voray-sur-l'Ognon;70190;70575;927635.859924316;6698023.06628418;0045;ADRNIVX_0000000278296552;;;2018700575000ZL0059;927634.999897472;6698017.05938877;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A080000000048B8274F2C4100003EC4098D5941;
58369;N070RIO_S02B;AD700100202785;5;;Rue des Champs Montants;;Voray-sur-l'Ognon;70190;70575;927646.523925781;6697987.29632568;0045;ADRNIVX_0000000278296550;;;2018700575000ZL0058;927649.193066171;6697985.14785845;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000400C3D4F2C410000F7D2008D5941;
58292;N070RIO_S02B;AD700100202786;3;;Rue des Champs Montants;;Voray-sur-l'Ognon;70190;70575;927667.689086914;6697953.97070312;0045;ADRNIVX_0000000278296442;;;2018700575000ZA0254;927668.068147598;6697953.1885145;;;;;1;0;1;0;1;0;;7;P;;;;;;;f;E;;2018-08-14 09:06:29.989681+02;;;;;;;;;;01010000206A0800000000D060674F2C410000207EF88C5941;
